time;gFx;gFy;gFz;TgF
0,671025;0,0965;0,3046;1,1377;1,182
0,672673;0,1212;0,3125;1,1504;1,198
0,673225;0,1268;0,3142;1,1199;1,170
0,673669;0,1151;0,3174;1,0754;1,127
0,676959;0,0950;0,3242;1,0322;1,086
0,681805;0,0762;0,3325;0,9885;1,046
0,689103;0,0567;0,3411;0,9293;0,992
0,692284;0,0374;0,3511;0,8604;0,930
0,697292;0,0247;0,3591;0,7869;0,865
0,702251;0,0105;0,3706;0,7239;0,813
0,707389;0,0088;0,3782;0,6638;0,764
0,712366;0,0015;0,3872;0,6181;0,729
0,717123;0,0044;0,4002;0,6078;0,728
0,722603;0,0181;0,4080;0,6196;0,742
0,727507;0,0364;0,4146;0,6459;0,768
0,732105;0,0552;0,4226;0,6799;0,802
0,738872;0,0706;0,4234;0,7185;0,837
0,743015;0,0814;0,4205;0,7530;0,866
0,747506;0,0911;0,4151;0,7886;0,896
0,752370;0,1011;0,4129;0,8165;0,921
0,763537;0,1099;0,4146;0,8389;0,942
0,764525;0,1190;0,4214;0,8465;0,953
0,767145;0,1329;0,4278;0,8292;0,942
0,776303;0,1434;0,4314;0,7984;0,919
0,777472;0,1505;0,4327;0,7664;0,893
0,782192;0,1561;0,4376;0,7319;0,867
0,788223;0,1632;0,4422;0,7063;0,849
0,792342;0,1661;0,4437;0,6860;0,834
0,797648;0,1683;0,4456;0,6645;0,818
0,802316;0,1720;0,4476;0,6550;0,812
0,807612;0,1798;0,4515;0,6579;0,818
0,812885;0,1954;0,4520;0,6733;0,834
0,817751;0,2196;0,4490;0,6867;0,849
0,823481;0,2367;0,4476;0,6970;0,861
0,827769;0,2453;0,4461;0,7063;0,871
0,832552;0,2480;0,4468;0,7178;0,881
0,849086;0,2416;0,4461;0,7253;0,885
0,850031;0,2287;0,4427;0,7310;0,885
0,850433;0,2169;0,4398;0,7356;0,884
0,866804;0,2086;0,4361;0,7349;0,880
0,867772;0,2040;0,4336;0,7363;0,879
0,868127;0,1959;0,4275;0,7361;0,874
0,868345;0,1869;0,4258;0,7417;0,875
0,877223;0,1813;0,4253;0,7429;0,875
0,878219;0,1808;0,4266;0,7486;0,880
0,882939;0,1776;0,4261;0,7517;0,882
0,888484;0,1747;0,4253;0,7505;0,880
0,892868;0,1732;0,4263;0,7446;0,875
0,897752;0,1688;0,4305;0,7427;0,875
0,902747;0,1622;0,4332;0,7515;0,882
0,908253;0,1542;0,4361;0,7766;0,904
0,913020;0,1429;0,4356;0,8128;0,933
0,918174;0,1361;0,4344;0,8626;0,975
0,923302;0,1368;0,4310;0,8951;1,003
0,928288;0,1339;0,4283;0,9203;1,024
0,933268;0,1292;0,4268;0,9501;1,050
0,947305;0,1131;0,4253;0,9775;1,072
0,948620;0,0926;0,4302;0,9931;1,086
0,949135;0,0704;0,4327;1,0004;1,092
0,955621;0,0432;0,4417;0,9929;1,088
0,966170;0,0166;0,4498;0,9880;1,086
0,967482;-0,0005;0,4627;0,9784;1,082
0,968364;-0,0132;0,4791;0,9604;1,073
0,974392;-0,0239;0,5057;0,9574;1,083
0,978203;-0,0264;0,5257;0,9587;1,094
0,983201;-0,0220;0,5402;0,9511;1,094
0,989815;-0,0100;0,5519;0,9406;1,091
0,993847;0,0012;0,5604;0,9296;1,085
0,998519;0,0098;0,5690;0,9293;1,090
1,005546;0,0137;0,5756;0,9545;1,115
1,008640;0,0195;0,5793;1,0126;1,167
1,013346;0,0247;0,5744;1,0906;1,233
1,018565;0,0261;0,5636;1,1590;1,289
1,023976;0,0266;0,5438;1,2198;1,336
1,028981;0,0283;0,5292;1,2523;1,360
1,033874;0,0259;0,5204;1,2775;1,380
1,047395;0,0203;0,5148;1,2912;1,390
1,048920;0,0120;0,5118;1,2858;1,384
1,049667;0,0059;0,5096;1,2672;1,366
1,065587;0,0039;0,5074;1,2359;1,336
1,066596;0,0105;0,5101;1,1981;1,302
1,066991;0,0178;0,5135;1,1592;1,268
1,068912;0,0261;0,5170;1,1280;1,241
1,075422;0,0300;0,5177;1,0957;1,212
1,078930;0,0271;0,5174;1,0698;1,189
1,083839;0,0283;0,5160;1,0429;1,164
1,089678;0,0288;0,5155;1,0254;1,148
1,094225;0,0325;0,5152;1,0153;1,139
1,099060;0,0374;0,5160;1,0070;1,132
1,106405;0,0437;0,5143;1,0029;1,128
1,109429;0,0479;0,5094;1,0039;1,127
1,114113;0,0506;0,5055;1,0043;1,126
1,119043;0,0569;0,5001;1,0026;1,122
1,124716;0,0687;0,4962;0,9899;1,109
1,129666;0,0796;0,4935;0,9762;1,097
1,134309;0,0811;0,4937;0,9623;1,085
1,146013;0,0774;0,4874;0,9550;1,075
1,146811;0,0718;0,4813;0,9496;1,067
1,149499;0,0696;0,4742;0,9462;1,061
1,168777;0,0655;0,4678;0,9504;1,061
1,169824;0,0623;0,4630;0,9626;1,070
1,170220;0,0574;0,4593;0,9780;1,082
1,170543;0,0528;0,4571;0,9897;1,091
1,177464;0,0503;0,4537;1,0129;1,111
1,179152;0,0555;0,4564;1,0368;1,134
1,184242;0,0594;0,4566;1,0605;1,156
1,189338;0,0643;0,4581;1,0757;1,171
1,194299;0,0711;0,4595;1,0896;1,185
1,199645;0,0733;0,4583;1,0899;1,185
1,205068;0,0740;0,4593;1,0820;1,178
1,209710;0,0792;0,4627;1,0681;1,167
1,214723;0,0882;0,4683;1,0471;1,150
1,219650;0,0931;0,4747;1,0212;1,130
1,224902;0,0901;0,4820;0,9990;1,113
1,229691;0,0838;0,4911;0,9689;1,089
1,234800;0,0814;0,4962;0,9484;1,073
1,245105;0,0823;0,5038;0,9372;1,067
1,246076;0,0809;0,5047;0,9303;1,062
1,249819;0,0855;0,5079;0,9252;1,059
1,262713;0,0901;0,5104;0,9254;1,061
1,263773;0,0963;0,5138;0,9271;1,064
1,264849;0,1058;0,5140;0,9264;1,065
1,271136;0,1112;0,5138;0,9289;1,067
1,274705;0,1143;0,5130;0,9357;1,073
