time;gFx;gFy;gFz;TgF
0,648124;0,0621;0,1239;1,0850;1,094
0,653241;0,0638;0,1302;1,0552;1,065
0,658515;0,0635;0,1373;1,0161;1,027
0,663509;0,0579;0,1451;0,9824;0,995
0,668202;0,0577;0,1522;0,9523;0,966
0,673988;0,0613;0,1571;0,9291;0,944
0,678796;0,0687;0,1622;0,9120;0,929
0,683399;0,0762;0,1649;0,9017;0,920
0,689135;0,0843;0,1637;0,8964;0,915
0,693733;0,0889;0,1627;0,8964;0,915
0,698551;0,0933;0,1610;0,9066;0,926
0,703421;0,0936;0,1568;0,9205;0,938
0,708548;0,0933;0,1549;0,9506;0,968
0,713780;0,0967;0,1498;0,9806;0,997
0,718667;0,0950;0,1432;1,0114;1,026
0,731374;0,0943;0,1385;1,0444;1,058
0,733059;0,0892;0,1339;1,0747;1,087
0,736734;0,0845;0,1307;1,1028;1,114
0,743893;0,0738;0,1258;1,1272;1,137
0,745330;0,0679;0,1239;1,1460;1,155
0,748859;0,0633;0,1244;1,1585;1,167
0,753607;0,0518;0,1209;1,1517;1,159
0,758638;0,0415;0,1248;1,1390;1,147
0,763712;0,0320;0,1341;1,1206;1,129
0,769045;0,0274;0,1437;1,1057;1,115
0,774451;0,0257;0,1522;1,0899;1,101
0,779078;0,0293;0,1573;1,0688;1,081
0,784296;0,0322;0,1622;1,0469;1,060
0,789664;0,0347;0,1644;1,0229;1,037
0,794760;0,0344;0,1693;1,0012;1,016
0,799548;0,0335;0,1725;0,9858;1,001
0,806616;0,0266;0,1757;0,9760;0,992
0,809545;0,0220;0,1757;0,9748;0,991
0,814062;0,0195;0,1686;0,9758;0,990
0,819290;0,0134;0,1659;0,9802;0,994
0,832724;0,0076;0,1583;0,9875;1,000
0,834064;0,0022;0,1537;0,9953;1,007
0,834663;-0,0022;0,1483;1,0026;1,014
0,848733;-0,0056;0,1476;1,0144;1,025
0,850101;-0,0095;0,1456;1,0229;1,033
0,850787;-0,0078;0,1446;1,0319;1,042
0,856206;-0,0086;0,1410;1,0361;1,046
0,859095;-0,0100;0,1395;1,0378;1,047
0,863978;-0,0117;0,1375;1,0417;1,051
0,868994;-0,0149;0,1368;1,0415;1,051
0,874179;-0,0178;0,1368;1,0412;1,050
0,879231;-0,0198;0,1375;1,0376;1,047
0,884511;-0,0252;0,1368;1,0319;1,041
0,889304;-0,0259;0,1349;1,0229;1,032
0,894407;-0,0266;0,1351;1,0092;1,019
0,899382;-0,0213;0,1385;0,9963;1,006
0,911961;-0,0134;0,1410;0,9838;0,994
0,913259;-0,0012;0,1468;0,9736;0,985
0,914994;0,0061;0,1471;0,9682;0,979
0,919510;0,0107;0,1500;0,9672;0,979
0,924667;0,0120;0,1466;0,9704;0,981
0,929580;0,0139;0,1407;0,9711;0,981
0,934587;0,0159;0,1390;0,9731;0,983
0,939892;0,0156;0,1366;0,9826;0,992
0,944684;0,0144;0,1344;0,9941;1,003
0,949703;0,0171;0,1292;1,0051;1,013
0,955579;0,0149;0,1241;1,0126;1,020
0,959767;0,0120;0,1207;1,0192;1,026
0,964635;0,0081;0,1168;1,0183;1,025
0,969758;0,0005;0,1146;1,0105;1,017
0,975052;-0,0088;0,1102;1,0036;1,010
0,979806;-0,0171;0,1097;0,9921;0,998
0,984963;-0,0235;0,1087;0,9831;0,989
0,989915;-0,0257;0,1033;0,9743;0,980
0,995277;-0,0242;0,1031;0,9662;0,972
1,000212;-0,0225;0,0997;0,9611;0,967
1,011902;-0,0173;0,0982;0,9601;0,965
1,013396;-0,0142;0,0994;0,9657;0,971
1,015151;-0,0090;0,0945;0,9787;0,983
1,020818;-0,0005;0,0955;0,9921;0,997
1,025648;0,0115;0,0948;1,0041;1,009
1,030339;0,0269;0,0958;1,0190;1,024
1,035285;0,0401;0,0972;1,0300;1,035
1,040921;0,0545;0,0999;1,0373;1,044
1,045299;0,0674;0,1038;1,0459;1,053
1,050463;0,0770;0,1109;1,0534;1,062
1,056532;0,0860;0,1200;1,0564;1,067
1,060578;0,0911;0,1258;1,0600;1,071
1,065512;0,0982;0,1317;1,0588;1,071
1,073127;0,1041;0,1388;1,0503;1,065
1,075759;0,1087;0,1451;1,0390;1,055
1,081018;0,1075;0,1561;1,0212;1,039
1,085817;0,1068;0,1676;1,0017;1,021
1,091287;0,1080;0,1801;0,9824;1,005
1,095536;0,1082;0,1932;0,9631;0,988
1,100888;0,1087;0,1994;0,9467;0,974
1,118246;0,1063;0,2096;0,9318;0,961
1,120399;0,1038;0,2143;0,9235;0,954
1,121273;0,0985;0,2179;0,9213;0,952
1,135777;0,0916;0,2182;0,9269;0,957
1,136757;0,0772;0,2191;0,9425;0,971
1,137192;0,0660;0,2162;0,9591;0,985
1,137439;0,0515;0,2101;0,9777;1,001
1,143290;0,0393;0,2013;0,9963;1,017
1,145596;0,0259;0,1913;1,0078;1,026
1,150696;0,0139;0,1845;1,0153;1,032
1,156133;0,0042;0,1825;1,0185;1,035
1,160856;-0,0034;0,1796;1,0136;1,029
1,165791;-0,0088;0,1796;1,0070;1,023
1,172595;-0,0122;0,1774;0,9968;1,013
1,175991;-0,0149;0,1764;0,9875;1,003
1,181329;-0,0137;0,1761;0,9777;0,994
1,186139;-0,0127;0,1791;0,9721;0,989
1,191537;-0,0120;0,1774;0,9677;0,984
1,196585;-0,0090;0,1774;0,9677;0,984
1,201588;-0,0086;0,1705;0,9672;0,982
1,213921;-0,0076;0,1693;0,9672;0,982
1,214754;-0,0078;0,1649;0,9660;0,980
1,216167;-0,0132;0,1595;0,9711;0,984
1,233320;-0,0186;0,1532;0,9736;0,986
1,234296;-0,0276;0,1471;0,9743;0,986
1,234686;-0,0337;0,1422;0,9758;0,987
1,236297;-0,0391;0,1361;0,9762;0,986
