time;gFx;gFy;gFz;TgF
0,644739;0,0127;0,1478;1,0244;1,035
0,650500;0,0134;0,1483;1,0293;1,040
0,655138;0,0147;0,1493;1,0302;1,041
0,660848;0,0164;0,1502;1,0322;1,043
0,665543;0,0203;0,1493;1,0307;1,042
0,670093;0,0230;0,1490;1,0263;1,037
0,674992;0,0249;0,1490;1,0146;1,026
0,680433;0,0342;0,1532;1,0056;1,018
0,685421;0,0381;0,1549;1,0017;1,014
0,690230;0,0403;0,1590;1,0007;1,014
0,700044;0,0430;0,1627;1,0043;1,018
0,701373;0,0445;0,1634;1,0117;1,026
0,704922;0,0430;0,1625;1,0188;1,033
0,710470;0,0384;0,1590;1,0217;1,035
0,715541;0,0369;0,1578;1,0244;1,037
0,720250;0,0352;0,1564;1,0229;1,035
0,725558;0,0340;0,1571;1,0214;1,034
0,730568;0,0357;0,1564;1,0146;1,027
0,735706;0,0384;0,1588;1,0075;1,021
0,740667;0,0391;0,1598;0,9999;1,013
0,745729;0,0391;0,1605;0,9963;1,010
0,750695;0,0398;0,1603;0,9977;1,011
0,755649;0,0384;0,1573;1,0007;1,014
0,762042;0,0388;0,1568;1,0043;1,017
0,765381;0,0391;0,1573;1,0051;1,018
0,770570;0,0379;0,1583;1,0034;1,016
0,783398;0,0354;0,1615;0,9877;1,001
0,784610;0,0379;0,1642;0,9694;0,984
0,785547;0,0386;0,1649;0,9545;0,969
0,790758;0,0403;0,1637;0,9555;0,970
0,795802;0,0457;0,1605;0,9579;0,972
0,801243;0,0330;0,1578;0,9513;0,965
0,805925;0,0215;0,1559;0,9472;0,960
0,811795;0,0142;0,1532;0,9504;0,963
0,815928;0,0120;0,1456;0,9650;0,976
0,821435;0,0049;0,1427;0,9816;0,992
0,827174;0,0039;0,1397;1,0019;1,012
0,831145;0,0054;0,1380;1,0217;1,031
0,835859;0,0093;0,1368;1,0469;1,056
0,841251;0,0166;0,1371;1,0613;1,070
0,846553;0,0200;0,1380;1,0708;1,080
0,852567;0,0198;0,1393;1,0727;1,082
0,856108;0,0208;0,1439;1,0727;1,083
0,861867;0,0200;0,1493;1,0676;1,078
0,866085;0,0254;0,1542;1,0581;1,070
