time;gFx;gFy;gFz;TgF
0,658889;0,0518;0,3442;0,9188;0,983
0,663657;0,0479;0,3454;0,9164;0,981
0,668806;0,0484;0,3430;0,9203;0,983
0,673454;0,0459;0,3430;0,9252;0,988
0,678625;0,0442;0,3406;0,9384;0,999
0,683937;0,0371;0,3359;0,9587;1,016
0,688980;0,0342;0,3308;0,9748;1,030
0,693794;0,0320;0,3261;0,9855;1,039
0,698516;0,0320;0,3240;0,9921;1,044
0,713447;0,0320;0,3230;0,9902;1,042
0,714277;0,0325;0,3269;0,9828;1,036
0,714601;0,0386;0,3318;0,9748;1,030
0,719005;0,0476;0,3352;0,9643;1,022
0,737326;0,0562;0,3408;0,9530;1,014
0,738070;0,0635;0,3459;0,9376;1,001
0,738468;0,0655;0,3481;0,9279;0,993
0,738699;0,0647;0,3506;0,9242;0,991
0,743633;0,0550;0,3516;0,9269;0,993
0,748439;0,0498;0,3508;0,9279;0,993
0,753636;0,0474;0,3476;0,9284;0,992
0,758676;0,0454;0,3489;0,9335;0,998
0,763851;0,0425;0,3472;0,9406;1,004
0,771079;0,0423;0,3459;0,9489;1,011
0,774646;0,0450;0,3454;0,9574;1,019
0,780138;0,0518;0,3430;0,9648;1,025
0,783979;0,0625;0,3428;0,9699;1,031
0,789511;0,0684;0,3376;0,9635;1,023
0,794064;0,0723;0,3335;0,9501;1,010
0,799255;0,0716;0,3303;0,9447;1,003
0,812852;0,0706;0,3325;0,9491;1,008
0,813825;0,0687;0,3332;0,9526;1,011
0,814233;0,0706;0,3345;0,9533;1,013
0,832864;0,0760;0,3357;0,9528;1,013
0,834114;0,0804;0,3367;0,9516;1,013
0,834550;0,0858;0,3389;0,9545;1,016
0,835293;0,0809;0,3389;0,9584;1,020
0,840244;0,0748;0,3391;0,9616;1,022
0,844273;0,0665;0,3398;0,9621;1,022
0,849232;0,0601;0,3367;0,9606;1,020
0,854757;0,0581;0,3371;0,9552;1,015
0,859684;0,0621;0,3381;0,9486;1,009
0,864237;0,0701;0,3423;0,9435;1,006
0,870887;0,0799;0,3457;0,9345;1,000
0,874648;0,0875;0,3474;0,9335;1,000
0,879605;0,0963;0,3496;0,9362;1,004
0,884461;0,0994;0,3481;0,9323;1,000
0,889768;0,1002;0,3435;0,9315;0,998
0,894491;0,1036;0,3423;0,9328;0,999
0,899797;0,1002;0,3464;0,9430;1,010
0,910733;0,0904;0,3437;0,9560;1,020
0,911887;0,0821;0,3362;0,9719;1,032
0,914467;0,0755;0,3276;0,9890;1,045
0,921697;0,0726;0,3220;1,0009;1,054
0,931831;0,0682;0,3191;1,0102;1,062
0,932516;0,0628;0,3186;1,0075;1,059
0,934621;0,0625;0,3196;1,0021;1,054
0,941274;0,0633;0,3227;0,9987;1,051
0,944708;0,0696;0,3222;0,9929;1,046
0,949547;0,0777;0,3237;0,9872;1,042
0,955113;0,0823;0,3279;0,9775;1,034
0,959936;0,0845;0,3288;0,9645;1,023
0,965378;0,0809;0,3301;0,9557;1,014
0,972152;0,0774;0,3298;0,9484;1,007
0,975192;0,0784;0,3264;0,9433;1,001
0,980736;0,0792;0,3242;0,9411;0,998
0,985946;0,0801;0,3259;0,9467;1,004
0,990685;0,0838;0,3227;0,9530;1,010
0,995061;0,0901;0,3222;0,9604;1,017
0,999901;0,0945;0,3218;0,9623;1,019
1,005280;0,1024;0,3232;0,9731;1,030
1,011049;0,1063;0,3218;0,9802;1,037
1,015073;0,1087;0,3242;0,9826;1,040
1,028572;0,1080;0,3293;0,9719;1,032
1,029773;0,1048;0,3298;0,9526;1,013
1,030411;0,0970;0,3379;0,9293;0,994
1,036121;0,0870;0,3445;0,9047;0,972
1,047305;0,0757;0,3518;0,8788;0,950
1,048258;0,0687;0,3528;0,8612;0,933
1,050157;0,0623;0,3574;0,8541;0,928
1,055301;0,0569;0,3623;0,8497;0,925
1,060385;0,0525;0,3667;0,8482;0,926
1,065676;0,0428;0,3660;0,8495;0,926
1,071063;0,0325;0,3623;0,8509;0,925
1,075336;0,0205;0,3569;0,8570;0,929
1,080908;0,0076;0,3550;0,8710;0,941
1,086580;-0,0029;0,3513;0,8898;0,957
1,090413;-0,0032;0,3484;0,9164;0,980
1,095323;-0,0022;0,3464;0,9306;0,993
1,100367;-0,0088;0,3479;0,9513;1,013
1,105629;-0,0107;0,3452;0,9662;1,026
1,110930;-0,0154;0,3379;0,9760;1,033
1,115748;-0,0203;0,3325;0,9887;1,043
1,128886;-0,0239;0,3281;0,9992;1,052
1,129749;-0,0315;0,3266;1,0166;1,068
1,130596;-0,0300;0,3257;1,0300;1,081
1,146758;-0,0217;0,3235;1,0427;1,092
1,147566;-0,0142;0,3205;1,0564;1,104
1,147881;0,0051;0,3174;1,0630;1,109
1,150654;0,0134;0,3161;1,0654;1,111
1,155809;0,0166;0,3130;1,0652;1,110
1,161009;0,0249;0,3090;1,0652;1,109
1,165790;0,0286;0,3064;1,0652;1,109
1,171039;0,0320;0,3037;1,0649;1,108
1,176079;0,0364;0,3017;1,0649;1,107
1,181139;0,0410;0,3020;1,0627;1,106
1,188685;0,0450;0,3022;1,0576;1,101
1,191627;0,0472;0,3034;1,0466;1,091
1,196660;0,0533;0,3081;1,0268;1,073
1,201404;0,0540;0,3088;1,0039;1,052
1,206547;0,0562;0,3122;0,9775;1,028
1,211836;0,0540;0,3137;0,9504;1,002
1,216467;0,0496;0,3156;0,9247;0,978
1,227499;0,0406;0,3188;0,9064;0,962
1,228819;0,0374;0,3191;0,8910;0,947
1,232004;0,0364;0,3186;0,8795;0,936
1,243784;0,0352;0,3186;0,8766;0,933
1,244826;0,0374;0,3183;0,8783;0,935
1,246433;0,0386;0,3159;0,8922;0,947
1,251166;0,0401;0,3171;0,9052;0,960
1,256724;0,0415;0,3154;0,9242;0,977
1,261712;0,0445;0,3127;0,9455;0,997
1,266735;0,0484;0,3115;0,9574;1,008
1,271867;0,0540;0,3120;0,9618;1,013
1,276839;0,0559;0,3130;0,9650;1,016
1,281781;0,0606;0,3164;0,9577;1,010
1,288627;0,0628;0,3200;0,9418;0,997
1,292268;0,0579;0,3261;0,9257;0,983
1,297404;0,0503;0,3332;0,9008;0,962
1,302157;0,0403;0,3396;0,8846;0,948
1,307007;0,0315;0,3462;0,8692;0,936
1,312224;0,0264;0,3530;0,8587;0,929
1,317306;0,0193;0,3599;0,8499;0,923
1,328985;0,0151;0,3623;0,8495;0,924
1,329739;0,0088;0,3638;0,8551;0,929
1,332218;0,0090;0,3608;0,8668;0,939
1,347818;0,0115;0,3604;0,8866;0,957
1,348868;0,0112;0,3542;0,9103;0,977
1,349391;0,0110;0,3496;0,9408;1,004
1,354596;0,0166;0,3408;0,9855;1,043
1,357484;0,0239;0,3332;1,0210;1,074
1,362142;0,0310;0,3261;1,0491;1,099
1,367676;0,0296;0,3127;1,0605;1,106
1,372540;0,0347;0,3027;1,0718;1,114
